recipe_id,is_pancake,servings,agave,baking_powder,baking_soda,bran,butter,buttermilk,cheese,chocolate,cornmeal,cream,cream_cheese,eggs,flour,frosting,fruit,fruit_juice,honey,low_cal_sweetener,margarine,mayonnaise,milk,mix,molasses,nut,oats,oil,other,salt,shortening,sour_cream,spice,starch,sugar,syrup,vanilla,vegetable,vinegar,water,wheat_germ,yeast,yogurt
23900,1,4,NA,0.01041665,NA,NA,0.375,NA,NA,NA,NA,NA,NA,4,0.5,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.0013020833333333333,NA,NA,0.03124995,NA,0.5625,NA,0.0208333,NA,NA,NA,NA,NA,NA
169652,1,9,NA,0.0416666,0.0208333,NA,0.1875,NA,NA,0.5,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,0.75,NA,NA,0.25,NA,NA,NA,0.005208325,NA,NA,NA,NA,0.0625,NA,0.0208333,NA,NA,NA,NA,NA,NA
36900,1,6,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.0026041625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166601,1,6,NA,0.0416666,0.01041665,NA,NA,NA,NA,NA,NA,NA,NA,1,1.75,NA,1,NA,NA,NA,NA,NA,2.125,NA,NA,NA,1,0.125,NA,0.01041665,NA,NA,NA,NA,0.25,NA,0.0208333,NA,NA,NA,NA,NA,NA
23095,1,4,NA,0.026041625,NA,NA,0.25,NA,NA,NA,NA,NA,NA,1,1.25,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005208325,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA
57606,1,6,NA,0.0208333,0.0416666,NA,NA,1.5,NA,NA,NA,NA,NA,1,1.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.1875,1.5,0.25,NA,0.01041665,NA,NA,NA,NA,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA
36168,1,8,NA,0.07291655,NA,NA,0.25,NA,NA,NA,NA,NA,NA,2,1.5,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,0.0208333,NA,NA,0.01041665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42688,1,4,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20140,1,8,NA,0.0833332,NA,NA,0.25,NA,NA,NA,NA,NA,NA,2,1.5,NA,NA,NA,NA,NA,NA,NA,1.0625,NA,NA,NA,NA,NA,NA,0.01041665,NA,NA,0.0625,NA,2.1875,0.125,0.1041666,NA,NA,NA,NA,NA,NA
84892,1,4,NA,0.0416666,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.125,NA,0.0208333,NA,NA,NA,NA,0.125,NA,0.125,NA,NA,NA,NA,NA,NA
